Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Klf4', 'Ascl1', 'Foxp2', 'Mef2c']     
GO:0031396      regulation of protein ubiquitination                                                                                     ['Siah2', 'Wdr70']                      
GO:0001025      RNA polymerase III general transcription initiation factor binding                                                       ['Zbtb43']                              
GO:0050681      nuclear androgen receptor binding                                                                                        ['Foxp2']                               
GO:0099072      regulation of postsynaptic membrane neurotransmitter receptor levels                                                     ['Erbin']                               
GO:0005254      chloride channel activity                                                                                                ['Gabrr1']                              
R-MMU-1855204   Synthesis of IP3 and IP4 in the cytosol                                                                                  ['Itpk1']                               
GO:0051591      response to cAMP                                                                                                         ['Cdo1']                                
GO:0097106      postsynaptic density organization                                                                                        ['Tmem108']                             
GO:1990138      neuron projection extension                                                                                              ['Tmem108', 'Flrt1', 'St8sia2']         
GO:0032024      positive regulation of insulin secretion                                                                                 ['Adcy8']                               
GO:0038024      cargo receptor activity                                                                                                  ['Scarb2']                              
GO:0050769      positive regulation of neurogenesis                                                                                      ['Ascl1']                               
GO:0072102      glomerulus morphogenesis                                                                                                 ['Mef2c']                               
GO:1904646      cellular response to amyloid-beta                                                                                        ['Igf1']                                
R-MMU-199991    Membrane Trafficking                                                                                                     ['Gria1', 'Scarb2']                     
GO:0008283      cell population proliferation                                                                                            ['Tgfb3', 'Fgf9', 'Igf1', 'Rb1', 'Prkca']
GO:0006898      receptor-mediated endocytosis                                                                                            ['Tmem108', 'Scarb2']                   
GO:0045197      establishment or maintenance of epithelial cell apical/basal polarity                                                    ['Pard3b']                              
GO:0006511      ubiquitin-dependent protein catabolic process                                                                            ['Siah2', 'Ube2z']                      
R-MMU-5654726   Negative regulation of FGFR1 signaling                                                                                   ['Fgf9']                                
GO:0030238      male sex determination                                                                                                   ['Fgf9']                                
GO:0051480      regulation of cytosolic calcium ion concentration                                                                        ['Adcy8']                               
GO:0043539      protein serine/threonine kinase activator activity                                                                       ['Igf1']                                
GO:0002863      positive regulation of inflammatory response to antigenic stimulus                                                       ['Cd24a']                               
GO:0005813      centrosome                                                                                                               ['Tubg2', 'Cdkl5']                      
GO:0071805      potassium ion transmembrane transport                                                                                    ['Kcnk12']                              
GO:0052745      inositol phosphate phosphatase activity                                                                                  ['Inpp1']                               
GO:0005488      binding                                                                                                                  ['Scarb2']                              
GO:0051038      negative regulation of transcription involved in meiotic cell cycle                                                      ['Zfp386']                              
GO:0050919      negative chemotaxis                                                                                                      ['Nrp2']                                
GO:0030509      BMP signaling pathway                                                                                                    ['Tgfb3']                               
GO:0003690      double-stranded DNA binding                                                                                              ['Klf4', 'Ascl1', 'Pcbp3', 'Cry1']      
GO:0030322      stabilization of membrane potential                                                                                      ['Kcnk12']                              
GO:0051155      positive regulation of striated muscle cell differentiation                                                              ['Hopx']                                
GO:0035050      embryonic heart tube development                                                                                         ['Mef2c']                               
GO:0048703      embryonic viscerocranium morphogenesis                                                                                   ['Mef2c']                               
GO:0004016      adenylate cyclase activity                                                                                               ['Adcy8']                               
GO:1903672      positive regulation of sprouting angiogenesis                                                                            ['Klf4']                                
GO:0046982      protein heterodimerization activity                                                                                      ['Adcy8', 'Bcl11a', 'Mef2c']            
GO:0097060      synaptic membrane                                                                                                        ['Rims4', 'Gria1']                      
GO:0002026      regulation of the force of heart contraction                                                                             ['Prkca']                               
GO:0035166      post-embryonic hemopoiesis                                                                                               ['Klf4']                                
GO:0000118      histone deacetylase complex                                                                                              ['Hdac9']                               
GO:0014009      glial cell proliferation                                                                                                 ['Rb1']                                 
GO:0016773      phosphotransferase activity, alcohol group as acceptor                                                                   ['Itpk1']                               
GO:0008544      epidermis development                                                                                                    ['Klf4']                                
GO:0030020      extracellular matrix structural constituent conferring tensile strength                                                  ['Col25a1']                             
R-MMU-74752     Signaling by Insulin receptor                                                                                            ['Fgf9']                                
GO:0099544      perisynaptic space                                                                                                       ['Gria1']                               
GO:0001777      T cell homeostatic proliferation                                                                                         ['Cd24a']                               
GO:0006355      regulation of DNA-templated transcription                                                                                ['Prkcq', 'Emx2', 'Sfmbt2', 'Zfp120', 'Foxp2', 'Sox5', 'Tle4', 'Mef2c']
GO:0048935      peripheral nervous system neuron development                                                                             ['Ascl1']                               
GO:0004749      ribose phosphate diphosphokinase activity                                                                                ['Prpsap2']                             
GO:0044297      cell body                                                                                                                ['Gria1']                               
GO:0031529      ruffle organization                                                                                                      ['Carmil1']                             
R-MMU-2299718   Condensation of Prophase Chromosomes                                                                                     ['Rb1']                                 
GO:0060391      positive regulation of SMAD protein signal transduction                                                                  ['Tgfb3']                               
GO:0070886      positive regulation of calcineurin-NFAT signaling cascade                                                                ['Igf1']                                
GO:0098703      calcium ion import across plasma membrane                                                                                ['Tmem28']                              
GO:0015718      monocarboxylic acid transport                                                                                            ['Slco3a1']                             
GO:0090023      positive regulation of neutrophil chemotaxis                                                                             ['Ripor2']                              
GO:0043425      bHLH transcription factor binding                                                                                        ['Ascl1']                               
R-MMU-372790    Signaling by GPCR                                                                                                        ['Prkcq', 'Adcy8', 'Rgs12', 'Mc4r', 'Prkca']
GO:0001933      negative regulation of protein phosphorylation                                                                           ['Prkca']                               
R-MMU-9652282   Drug-mediated inhibition of ERBB2 signaling                                                                              ['Erbin']                               
GO:0010360      negative regulation of anion channel activity                                                                            ['Prkca']                               
GO:0051018      protein kinase A binding                                                                                                 ['Gria1']                               
GO:0043525      positive regulation of neuron apoptotic process                                                                          ['Ascl1']                               
GO:0002329      pre-B cell differentiation                                                                                               ['Cd24a']                               
GO:0043523      regulation of neuron apoptotic process                                                                                   ['Mef2c']                               
GO:0099572      postsynaptic specialization                                                                                              ['Erbin']                               
GO:0010656      negative regulation of muscle cell apoptotic process                                                                     ['Igf1']                                
GO:0050679      positive regulation of epithelial cell proliferation                                                                     ['Fgf9', 'Foxp2', 'Igf1']               
GO:0003924      GTPase activity                                                                                                          ['Tbc1d4', 'Rapgef5', 'Gtpbp1', 'Arl15', 'Arhgap42']
GO:0045202      synapse                                                                                                                  ['Gabrr1', 'Adcy8', 'Cplx3', 'Cbln4', 'Rgs12', 'Lypd6', 'Pdzrn3', 'Ctbp2', 'Tmem108', 'Adgrb1', 'Rims4', 'Gria1', 'Unc13c']
GO:0045744      negative regulation of G protein-coupled receptor signaling pathway                                                      ['Cry1']                                
GO:0016849      phosphorus-oxygen lyase activity                                                                                         ['Adcy8']                               
R-MMU-983169    Class I MHC mediated antigen processing & presentation                                                                   ['Siah2', 'Fbxl19', 'Ube2z']            
GO:0051656      establishment of organelle localization                                                                                  ['Pard3b']                              
R-MMU-156590    Glutathione conjugation                                                                                                  ['Cndp2']                               
GO:0032878      regulation of establishment or maintenance of cell polarity                                                              ['Igf1']                                
GO:0045893      positive regulation of DNA-templated transcription                                                                       ['Klf4', 'Tgfb3', 'Fgf9', 'Igf1', 'Mef2c']
GO:0031514      motile cilium                                                                                                            ['Cd24a']                               
GO:0003712      transcription coregulator activity                                                                                       ['Fbxl19', 'Bcl11a']                    
GO:2000813      negative regulation of barbed-end actin filament capping                                                                 ['Carmil1']                             
GO:1901385      regulation of voltage-gated calcium channel activity                                                                     ['Cabp1']                               
GO:0019992      diacylglycerol binding                                                                                                   ['Unc13c']                              
GO:0031048      heterochromatin assembly by small RNA                                                                                    ['Fam172a']                             
GO:0009247      glycolipid biosynthetic process                                                                                          ['Gal3st3']                             
GO:0004693      cyclin-dependent protein serine/threonine kinase activity                                                                ['Cdk19', 'Cdkl5']                      
GO:0060484      lung-associated mesenchyme development                                                                                   ['Fgf9']                                
GO:0034109      homotypic cell-cell adhesion                                                                                             ['Cd24a']                               
GO:0072112      podocyte differentiation                                                                                                 ['Cd24a']                               
GO:0030262      apoptotic nuclear changes                                                                                                ['Cd24a']                               
GO:0030030      cell projection organization                                                                                             ['D1Ertd622e']                          
GO:0030336      negative regulation of cell migration                                                                                    ['Klf4', 'D1Ertd622e']                  
GO:0099507      ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential                    ['Gabrr1', 'Gria1']                     
GO:0070509      calcium ion import                                                                                                       ['Tmem28']                              
GO:0003779      actin binding                                                                                                            ['Adcy8', 'Cap2']                       
GO:1990917      ooplasm                                                                                                                  ['Prkca']                               
GO:0051241      negative regulation of multicellular organismal process                                                                  ['D1Ertd622e']                          
GO:0043949      regulation of cAMP-mediated signaling                                                                                    ['Adcy8', 'Adgrb1']                     
GO:0048663      neuron fate commitment                                                                                                   ['Ascl1']                               
GO:0032266      phosphatidylinositol-3-phosphate binding                                                                                 ['Snx13']                               
GO:0010761      fibroblast migration                                                                                                     ['D1Ertd622e']                          
R-MMU-975577    N-Glycan antennae elongation                                                                                             ['St8sia2']                             
GO:0001227      DNA-binding transcription repressor activity, RNA polymerase II-specific                                                 ['Zfp120', 'Ascl1', 'Pcbp3', 'Foxp2', 'Bcl11a']
GO:0098655      cation transmembrane transport                                                                                           ['Shisa8']                              
R-MMU-163200    Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.      ['Scaf1']                               
GO:0017046      peptide hormone binding                                                                                                  ['Mc4r']                                
R-MMU-5654727   Negative regulation of FGFR2 signaling                                                                                   ['Fgf9']                                
GO:0009913      epidermal cell differentiation                                                                                           ['Klf4']                                
GO:0019530      taurine metabolic process                                                                                                ['Cdo1']                                
GO:0032212      positive regulation of telomere maintenance via telomerase                                                               ['Prkcq']                               
GO:0007249      I-kappaB kinase/NF-kappaB signaling                                                                                      ['Trim8']                               
GO:0008584      male gonad development                                                                                                   ['Fgf9']                                
GO:2000679      positive regulation of transcription regulatory region DNA binding                                                       ['Igf1', 'Rb1']                         
GO:0003148      outflow tract septum morphogenesis                                                                                       ['Nrp2']                                
GO:0050776      regulation of immune response                                                                                            ['Cd276']                               
GO:0099140      presynaptic actin cytoskeleton organization                                                                              ['Cap2']                                
GO:0140014      mitotic nuclear division                                                                                                 ['Rb1']                                 
GO:0005938      cell cortex                                                                                                              ['Pard3b', 'Ooep', 'Unc13c']            
GO:2000173      negative regulation of branching morphogenesis of a nerve                                                                ['Bcl11a']                              
GO:0070433      negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway                          ['Erbin']                               
GO:0031643      positive regulation of myelination                                                                                       ['Igf1']                                
GO:0000785      chromatin                                                                                                                ['Klf4', 'Rb1']                         
GO:0006119      oxidative phosphorylation                                                                                                ['Scaf1']                               
GO:0000729      DNA double-strand break processing                                                                                       ['Wdr70']                               
GO:0010595      positive regulation of endothelial cell migration                                                                        ['Prkca']                               
GO:0007517      muscle organ development                                                                                                 ['Ripor2', 'Adgrb1']                    
